key,current_name,other_names,abbreviations,format,start_date,end_date,parents
OT1223,Centre for Connected and Autonomous Vehicles,"",CCAV,Sub-organisation,,,"D9, D1198"
OT1233,East West Railway Company,"",EWRC,Other,,,D9
OT1235,College of Policing,"","",Other,,,D16
OT1236,BPDTS Ltd,"","",Other,,,D10
OT1238,Dounreay Site Restoration Ltd,"","",Other,,,PB197
OT1239,Magnox Ltd,"","",Other,,,PB197
OT1240,Low Level Waste Repository Ltd,"","",Other,,,PB197
OT1242,Remploy Pension Scheme Trustees Ltd,"","",Other,,,D10
OT1243,NHS Counter Fraud Agency,NHS Counter Fraud Authority,NHSCFA,Other,,,D12
OT1244,Network Rail,"","",Other,,,D9
OT1246,Office for Product Safety and Standards,Office for Product Safety & Standards,"",Sub-organisation,,,D1198
OT152,Industrial Development Advisory Board,"",IDAB,Advisory non-departmental public body,,,D1198
OT204,Agriculture and Horticulture Development Board,"",AHDB,Executive non-departmental public body,,,D7
OT205,Sea Fish Industry Authority,"",Seafish,Executive non-departmental public body,,,D7
OT214,Covent Garden Market Authority,"",CGMA,Other,,,D7
OT216,Broads Authority,"","",Other,,,D7
OT217,Dartmoor National Park Authority,"",DNPA,Other,,,D7
OT219,Exmoor National Park Authority,"",Exmoor,Other,,,D7
OT220,Lake District National Park Authority,"",LDNP,Other,,,D7
OT222,New Forest National Park Authority,"",NFNPA,Other,,,D7
OT223,North York Moors National Park Authority,"",NYMNP,Other,,,D7
OT237,National Employment Savings Trust (NEST) Corporation,"",NEST Corporation,Public corporation,,,D10
OT248,Air Accidents Investigation Branch,"",AAIB,Other,,,D9
OT249,Rail Accident Investigation Branch,"",RAIB,Other,,,D9
OT261,Office of Tax Simplification,"",OTS,Independent monitoring body,,,""
OT269,Equality and Human Rights Commission,"",EHRC,Executive non-departmental public body,,,D6
OT281,HM Inspectorate of Constabulary and Fire & Rescue Services,HM Inspectorate of Constabulary,"HMIC, HMICFRS",Other,,unknown,D16
OT284,Independent Chief Inspector of Borders and Immigration,"",ICIBI,Other,,,D16
OT304,The Security Service,"",MI5,Other,,,D16
OT305,Secret Intelligence Service,"",SIS,Other,,,D13
OT306,Government Communications Headquarters,"",GCHQ,Other,,,D13
OT313,British Council,"",British Council,Executive non-departmental public body,,,D13
OT315,Marshall Aid Commemoration Commission,"",MACC,Executive non-departmental public body,,,D13
OT316,Westminster Foundation for Democracy,"","",Executive non-departmental public body,,,D13
OT328,Official Solicitor and Public Trustee,"",OSPT,Other,,,D18
OT342,Privy Council Office,"",PCO,Other,,,D2
OT347,HM Crown Prosecution Service Inspectorate,"",HMCPSI,Other,,,D1
OT360,UK Green Investment Bank,"",GIB,Other,,unknown,D1198
OT385,Ofcom,"",Ofcom,Other,,,D5
OT404,Service Complaints Commissioner,"",SCC,Other,,2016-01,D17
OT405,Defence Academy of the United Kingdom,"",DA,Other,,,D17
OT406,Service Prosecuting Authority,"",SPA,Other,,,D17
OT408,"Defence, Press and Broadcasting Advisory Committee","",DPBAC,Other,,unknown,D17
OT409,Royal Navy Submarine Museum,"",RNSM,Other,,,D17
OT411,Defence Sixth Form College,"",DSFC,Other,,,D17
OT425,Drinking Water Inspectorate,"",DWI,Other,,,D7
OT428,Boundary Commission for Northern Ireland,"",BCNI,Advisory non-departmental public body,,,D19
OT429,Northern Ireland Human Rights Commission,"",NIHRC,Executive non-departmental public body,,,D19
OT430,Parades Commission for Northern Ireland,"",PCNI,Executive non-departmental public body,,,D19
OT431,Boundary Commission for Scotland,"",BCS,Advisory non-departmental public body,,,D23
OT432,Boundary Commission for Wales,"",BCW,Advisory non-departmental public body,,,D2
OT433,The Adjudicator’s Office,"","",Other,,,D25
OT444,"Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms",Independent Monitoring Boards,IMB,Other,,,D18
OT483,Health Research Authority,The Health Research Authority,HRA,Executive non-departmental public body,,,D12
OT484,NHS Trust Development Authority,"",NHS TDA,Executive non-departmental public body,,unknown,D12
OT486,NHS Blood and Transplant,"",NHSBT,Executive non-departmental public body,,,D12
OT488,NHS Resolution,NHS Litigation Authority,NHSLA,Executive non-departmental public body,,,D12
OT492,Chevening Scholarship Programme,"",Chevening,Other,,,D13
OT494,Airports Commission,"","",Other,,2015-07,D9
OT495,Defence Equipment and Support,"",DE&S,Sub-organisation,,,D17
OT496,Defence Infrastructure Organisation,"",DIO,Sub-organisation,,,D17
OT498,Joint Forces Command,"",JFC,Sub-organisation,,,D17
OT502,Office for Life Sciences,"",OLS,Sub-organisation,,,"D12, D1198"
OT504,Chief Fire and Rescue Adviser,CFRA,CFRA,Sub-organisation,,,D16
OT505,National security and intelligence,"","",Sub-organisation,,,D2
OT506,Government Equalities Office,"",GEO,Other,,,D16
OT507,Efficiency and Reform Group,"",ERG,Sub-organisation,,unknown,D2
OT511,Independent Reviewer of Terrorism Legislation,"",Independent Reviewer,Other,,,D16
OT512,Intelligence Services Commissioner,"",ISC,Other,,,D16
OT513,Interception of Communications Commissioner,"",Interception Commissioner	,Other,,,D16
OT514,Office for Low Emission Vehicles,"",OLEV,Sub-organisation,,,"D9, D1198"
OT515,Office of the Parliamentary Counsel,"",OPC,Sub-organisation,,,D2
OT517,Commissioner for Public Appointments,"","",Other,,,D2
OT518,The McKay Commission,McKay Commission,TMC,Other,,2013-03-25,D2
OT519,The Parliamentary and Health Service Ombudsman,"",The Ombudsman,Other,,,""
OT520,Behavioural Insights Team,"",BIT,Other,,2014-02-05,""
OT522,Advisory Committee on Clinical Excellence Awards,"",ACCEA,Advisory non-departmental public body,,,D12
OT529,NHS Business Services Authority,"",NHSBSA,Executive non-departmental public body,,,D12
OT532,"Prime Minister's Office, 10 Downing Street","",Number 10,Executive office,,,D2
OT533,Broadmoor Hospital investigation,"","",Sub-organisation,,unknown,D12
OT535,Border Force,"",BF,Sub-organisation,,,D16
OT536,Forensic Science Regulator,"",FSR,Other,,,D16
OT537,Deputy Prime Minister's Office,The Deputy Prime Minister's Office,DPMO,Executive office,,2015-05-08,D2
OT538,Health and Social Care Information Centre,"",HSCIC,Executive non-departmental public body,,unknown,D12
OT539,Health Education England,"",HEE,Executive non-departmental public body,,,D12
OT540,Infrastructure UK,"",IUK,Sub-organisation,,2016-01-01,D15
OT543,Northumberland National Park Authority,"","",Other,,,D7
OT545,Peak District National Park Authority,"",PDNP,Other,,,D7
OT546,South Downs National Park Authority,"",SDNP,Other,,,D7
OT547,Yorkshire Dales National Park Authority,"",YDNP,Other,,,D7
OT548,Biometrics Commissioner,"","",Other,,,D16
OT549,Government Estates Management,"",GEM,Other,,,D2
OT551,Groceries Code Adjudicator,"",GCA,Other,,,D1198
OT552,Surveillance Camera Commissioner,"",SCC,Other,,,D16
OT553,Office of the Regulator of Community Interest Companies,"",CIC Regulator,Other,,,D1198
OT554,UK Visas and Immigration,"",UKVI,Sub-organisation,,,D16
OT555,Government Office for Science,"",GO-Science,Other,,,D1198
OT557,Export Control Organisation,Export Control Joint Unit,ECJU,Sub-organisation,,,D1196
OT559,Healthcare UK,"",Healthcare UK,Sub-organisation,,,"D12, D1196"
OT563,CESG,"",CESG,Sub-organisation,,unknown,OT306
OT564,Bona Vacantia,"",BVD,Sub-organisation,,,D1108
OT565,Morecambe Bay Investigation,"","",Other,,,D12
OT566,Open Public Services,"",OPS,Sub-organisation,,,D2
OT567,Centre for the Protection of National Infrastructure,"",CPNI,Other,,,"OT304, OT306"
OT569,Better Regulation Delivery Office,"",BRDO,Other,,unknown,D3
OT572,Wave Hub,"","",Other,,unknown,""
OT579,Independent Case Examiner,"",ICE,Other,,,D10
OT581,Queen's Harbour Master,"",QHM,Sub-organisation,,,D17
OT588,Firearms Consultative Committee,"","",Other,,2004-01-31,""
OT589,Animal Procedures Committee,"","",Other,,2012-12,""
OT590,Welsh Office,"","",Other,,1999-07-01,""
OT592,Monopolies and Mergers Commission,"","",Other,,1999-04-01,""
OT593,Royal Commission on Criminal Justice,"","",Other,,1993,""
OT594,Board of Inland Revenue,"","",Other,,unknown,""
OT596,Victoria Climbié Inquiry,"","",Other,,2003-01-28,""
OT597,Shipman Inquiry,"","",Other,,2005-01-27,""
OT599,Kerr / Haslam Inquiry,Kerr/Haslam Inquiry,"",Other,,2005-07-18,""
OT600,Office of the Legal Services Complaints Commissioner,"","",Other,,unknown,""
OT604,Review Body for Nursing and Other Health Professions,"","",Other,,unknown,""
OT606,Royal Commission on Environmental Pollution,"","",Other,,2011-04-01,""
OT610,Office for Criminal Justice Reform,"","",Other,,unknown,""
OT612,Scottish Law Commission,"","",Other,,unknown,""
OT614,Statistics Commission,"","",Other,,2008-04-01,""
OT615,Independent Monitoring Commission,"","",Other,,2011,""
OT616,Independent Review of the UK Postal Services Sector,"","",Other,,2008-12,""
OT618,Office of HM Paymaster General,"","",Other,,2008-04-01,""
OT619,Independent Review of Police Officer and Staff Remuneration and Conditions,"","",Other,,unknown,""
OT622,Royal Liverpool Childrens Inquiry,"","",Other,,2001-01-30,""
OT626,Gaming Board for Great Britain,"","",Other,,2007-09-01,""
OT627,Public Accounts Commission,"","",Other,,unknown,""
OT628,Derby North East Education Action Zone,"","",Other,,2005-04-16,""
OT629,National Care Standards Commission,"","",Other,,2004-04-01,""
OT632,Kitts Green and Shard End Education Action Zone,"","",Other,,unknown,""
OT634,Northern Ireland Audit Office,"","",Other,,unknown,DA1021
OT635,Equitable Life Inquiry,"","",Other,,2000-12,""
OT636,Office of the Police Ombudsman for Northern Ireland,"","",Other,,unknown,""
OT637,Greenwich Education Action Zone,"","",Other,,2004-09-05,""
OT638,Wolverhampton Education Action Zone,"","",Other,,2005-01-09,""
OT639,Wednesbury Education Action Zone,"","",Other,,2004-11-30,""
OT640,Bolton Education Action Zone,"","",Other,,unknown,""
OT641,Hamilton Oxford Education Action Zone,"","",Other,,2004-09-06,""
OT642,Scottish Screen,"","",Other,,2010-07-01,""
OT643,Dudley Education Action Zone,"","",Other,,2004-11-30,""
OT644,"Northern Ireland Council for the Curriculum, Examinations and Assessment","","",Other,,unknown,""
OT645,Westminster Education Action Zone,"","",Other,,2005-04-30,""
OT646,North East Derbyshire Coalfields Education Action Zone,"","",Other,,2004-11-30,""
OT647,Telford and Wrekin Education Action Zone,"","",Other,,2004-11-30,""
OT648,Withernsea and Southern Holderness Education Action Zone,"","",Other,,2005-01-09,""
OT649,Northern Ireland Policing Board,"","",Other,,,""
OT650,Easington and Seaham Education Action Zone,"","",Other,,2005-01-09,""
OT651,North Islington Education Action Zone,"","",Other,,2004-11-30,""
OT652,Stoke Education Action Zone,"","",Other,,2005-01-09,""
OT653,Sunderland Education Action Zone,"","",Other,,2005-01-09,""
OT654,Peterlee Education Action Zone,"","",Other,,2005-01-09,""
OT655,Southend Education Action Zone,"","",Other,,2004-11-30,""
OT657,Police Service of Northern Ireland,"","",Other,,unknown,""
OT658,"National Endowment for Science, Technology and the Arts","","",Other,,unknown,""
OT659,Probation Board for Northern Ireland,"",PBNI,Other,,,""
OT661,Parliamentary Contributory Pension Fund,"","",Other,,unknown,""
OT662,Bedford Education Action Zone,"","",Other,,unknown,""
OT663,Leigh Park Education Action Zone,"","",Other,,2005-01-09,""
OT664,Downham and Bellingham Education Action Zone,"","",Other,,2005-01-09,""
OT665,Corby Education Action Zone,"","",Other,,unknown,""
OT666,Bristol Education Action Zone,"","",Other,,unknown,""
OT667,North West Shropshire Education Action Zone,"","",Other,,2005-04-02,""
OT668,Wythenshawe Education Action Zone,"","",Other,,2004-11-30,""
OT669,Ellesmere Port Education Action Zone,"","",Other,,2005-01-09,""
OT670,"Camborne, Pool and Redruth Education Action Zone","","",Other,,unknown,""
OT671,Coventry Education Action Zone,"","",Other,,unknown,""
OT672,North Gillingham Education Action Zone,"","",Other,,2005-01-09,""
OT673,Gloucester Education Action Zone,"","",Other,,2005-01-09,""
OT674,East Manchester Education Action Zone,"","",Other,,2004-11-30,""
OT676,Commission for Racial Equality,"","",Other,,2007-10-01,""
OT677,Clacton and Harwich Education Action Zone,"","",Other,,unknown,""
OT678,Hackney Education Action Zone,"","",Other,,2004-11-30,""
OT679,Hastings and St Leonards Education Action Zone,"","",Other,,2004-11-30,""
OT680,Kent and Somerset Education Action Zone,"","",Other,,2004-11-30,""
OT681,Hybu Cig Cymru - Meat Promotion Wales,"","",Other,,unknown,""
OT683,Commission for Health Improvement,"","",Other,,2004-03-31,""
OT684,Bridgwater Education Action Zone,"","",Other,,unknown,""
OT686,H.M. Inspectorate of Explosives for Northern Ireland,"","",Other,,unknown,""
OT688,Sentence Review Commissioners,"","",Other,,unknown,""
OT690,Counter Fraud and Security Management Service,"","",Sub-organisation,,,OT529
OT691,Family Health Services Appeal Authority,"","",Other,,2015-03-31,""
OT694,Sports Council for Northern Ireland,"","",Other,,unknown,""
OT702,Dingle Granby Toxteth Education Action Zone,"","",Other,,2005-01-09,""
OT703,National Crime Squad,"","",Other,,2006-04-01,""
OT708,Wakefield Education Action Zone,"","",Other,,2005-01-09,""
OT709,NHS Estates,"","",Other,,2005-09-30,""
OT710,Equal Opportunities Commission,"","",Other,,2007-09-30,""
OT711,Disability Rights Commission,"","",Other,,2007-10-01,""
OT712,National Weights and Measures Laboratory,"","",Other,,2007-06-28,""
OT713,Defence Estates,"","",Other,,2011-04-01,""
OT714,Planning Service,"","",Other,,unknown,""
OT718,UK Passport Service,"","",Other,,2006-04-01,""
OT719,Millennium Commission,"","",Other,,2006-11-30,""
OT720,Defence Intelligence and Security Centre,"","",Other,,unknown,""
OT721,Alcohol Education and Research Council,"","",Other,,2011-03-28,""
OT722,South East Sheffield Education Action Zone,"","",Other,,2005-04-16,""
OT723,National Probation Service,"",NPS,Other,,,EA70
OT724,Hearing Aid Council,"","",Other,,2010-07-31,""
OT726,Criminal Records Bureau,"","",Other,,2012-12-01,""
OT727,Police Complaints Authority,"","",Other,,2004-03-31,""
OT730,National Radiological Protection Board,"","",Other,,2005-04-01,""
OT731,Arts Council of Wales,"","",Other,,,""
OT732,Consumer Council for Postal Services,"","",Other,,unknown,""
OT733,Gas and Electricity Consumer Council (Energywatch),"","",Other,,2008,""
OT734,Sports Council for Wales,"","",Other,,,""
OT736,Great Yarmouth Education Action Zone,"","",Other,,2005-04-16,""
OT737,South East England Virtual Education Action Zone,"","",Other,,2005-04-02,""
OT738,Heart of Slough Education Action Zone,"","",Other,,unknown,""
OT739,Plymouth Education Action Zone,"","",Other,,2003-12-31,""
OT741,General Social Care Council,"","",Other,,2012-09-30,""
OT742,H.M. Customs and Excise,"","",Other,,2005-04,""
OT743,Community Fund,"","",Other,,2006-11-30,""
OT744,Office of the Chief Electoral Officer for Northern Ireland,"","",Other,,unknown,""
OT745,Office of the Oversight Commissioner,"","",Other,,2007-05-31,""
OT749,Office of the First Minister and Deputy First Minister,"","",Other,,unknown,""
OT751,Staff Commission for Education and Library Boards,"","",Other,,unknown,""
OT754,Crown Agents Holding and Realisation Board,"","",Other,,2008-03-31,""
OT757,Home-Grown Cereals Authority,"","",Other,,2008-03-31,""
OT758,Northern Ireland Local Government Officers' Superannuation Committee,"","",Other,,unknown,""
OT759,Fire Authority for Northern Ireland,"","",Other,,unknown,""
OT760,Community Development Foundation,"","",Other,,unknown,""
OT761,Northern Ireland Authority for Energy Regulation,"","",Other,,unknown,""
OT762,Scottish Arts Council,"","",Other,,2010-07-01,""
OT766,Barrow Education Action Zone,"","",Other,,unknown,""
OT767,Speke Garston Education Action Zone,"","",Other,,2005-01-09,""
OT768,East Cleveland Education Action Zone,"","",Other,,2005-01-09,""
OT769,Armagh Observatory and Planetarium,"","",Other,,unknown,""
OT770,Northern Ireland Social Care Council,"","",Other,,unknown,""
OT772,Criminal Justice Inspection Northern Ireland,"","",Other,,unknown,""
OT773,Deepcut Review,"","",Other,,unknown,""
OT774,National Blood Authority,"","",Other,,2005-09-30,""
OT775,UK Transplant,"","",Other,,2005-10-01,""
OT776,South Bradford Education Action Zone,"","",Other,,2005-01-09,""
OT777,North Stockton Education Action Zone,"","",Other,,2005-04-16,""
OT778,Council for Catholic Maintained Schools,"","",Other,,unknown,""
OT779,Equality Commission for Northern Ireland,"","",Other,,unknown,""
OT780,Court of Judicature of Northern Ireland,"","",Other,,unknown,""
OT781,North East Education and Library Board,"","",Other,,unknown,""
OT782,Zahid Mubarek Inquiry,"","",Other,,2006-06-29,""
OT783,Northern Ireland Legal Services Commission,"","",Other,,unknown,""
OT786,Adult Learning Inspectorate,"","",Other,,2007-04,""
OT787,Football Licensing Authority,"","",Other,,2010-10-14,""
OT793,Food from Britain,"","",Other,,2009-03-31,""
OT794,Strategic Rail Authority,"","",Other,,2006-11-30,""
OT795,Special EU Programmes Body,"","",Other,,unknown,""
OT796,Business Development Service,"","",Other,,2006-04-01,""
OT798,Dental Practice Board,"","",Other,,2006-03-31,""
OT799,Dental Vocational Training Authority,"","",Other,,2006-03-31,""
OT800,Mental Health Act Commission,"","",Other,,2009-04-01,""
OT801,NHS Appointments Commission,"","",Other,,2012-10-31,""
OT802,NHS Direct National Health Service Trust,"","",Other,,unknown,""
OT803,NHS Institute for Innovation and Improvement,"","",Other,,2013-03-31,""
OT804,NHS Logistics Authority,"","",Other,,2006-01-01,""
OT805,NHS Professionals,"","",Other,,2010-04-01,""
OT806,Prescription Pricing Authority,"","",Other,,2006-04-01,""
OT807,Fisheries Conservancy Board for Northern Ireland,"","",Other,,unknown,""
OT809,General Consumer Council for Northern Ireland,"","",Other,,unknown,""
OT811,H.M. Inspectorate of Court Administration,"","",Other,,2010-12,""
OT812,Forensic Science Service,"","",Other,,2005-12-04,""
OT814,Council for Healthcare Regulatory Excellence,"","",Other,,2012,""
OT817,OGCbuyingsolutions,"","",Other,,2010-06-15,""
OT818,Disability and Carers Service,"","",Executive agency,,2008,""
OT819,Central Police Training and Development Authority,"","",Other,,2007-03-31,""
OT820,Northern Ireland Tourist Board,"","",Other,,unknown,""
OT822,Commission for Patient and Public Involvement in Health,"","",Other,,2008-03-31,""
OT824,Commission for Social Care Inspection,"","",Other,,unknown,""
OT825,Forest Service,Department of Agriculture and Rural Development,"",Other,,unknown,""
OT826,Public Lending Right Office,"","",Other,,2013-10-01,""
OT827,Office of the Legal Services Ombudsman,"","",Other,,2011,""
OT828,Northern Ireland Ombudsman,"","",Other,,unknown,""
OT831,Roads Service,"","",Other,,unknown,""
OT834,Postal Services Commission,"","",Other,,2011-10-01,""
OT837,Criminal Injuries Compensation Appeals Panel,"","",Other,,unknown,""
OT838,Northern Ireland Commissioner for Children and Young People,"","",Other,,unknown,""
OT840,Thurrock Thames Gateway Development Corporation,"","",Other,,2012-10-31,""
OT841,Council for the Central Laboratory of the Research Councils,"","",Other,,2007-04-01,""
OT845,Pension Service,"","",Executive agency,,unknown,""
OT846,Central Office of Information,"","",Other,,2011-12-30,""
OT849,Livestock and Meat Commission for Northern Ireland,"","",Other,,unknown,""
OT850,UK Film Council,"","",Other,,2012-03-31,""
OT851,Milk Development Council,"","",Other,,2008-04-01,""
OT852,New Opportunities Fund,"","",Other,,2006-11-30,""
OT856,Northern Ireland Practice and Education Council,"","",Other,,unknown,""
OT857,South Eastern Education and Library Board,"","",Other,,unknown,""
OT858,Western Education and Library Board,"","",Other,,unknown,""
OT859,State Veterinary Service,"","",Other,,2007,""
OT861,Ashington Education Action Zone,"","",Other,,unknown,""
OT862,Loughs Agency,"","",Other,,unknown,""
OT863,Northern Health and Social Services Board,"","",Other,,unknown,""
OT864,Southern Health and Social Services Board,"","",Other,,unknown,""
OT865,Eastern Health and Social Services Board,"","",Other,,unknown,""
OT866,Western Health and Social Services Board,"","",Other,,unknown,""
OT867,Revenue and Customs Prosecutions Office,"","",Other,,2010-04,""
OT868,National Museums and Galleries of Northern Ireland,"","",Other,,unknown,""
OT869,Waterways Ireland,"","",Other,,unknown,""
OT871,Enterprise Ulster,"","",Other,,2006-03-21,""
OT872,Pesticides Safety Directorate,"","",Other,,2008,""
OT875,Particle Physics and Astronomy Research Council,"","",Other,,2007-04-01,""
OT876,Meat and Livestock Commission,"","",Independent monitoring body,,2008-04-01,""
OT877,Life Sentence Review Commissioners,"","",Other,,unknown,""
OT878,British Forces Post Office,"","",Other,,unknown,""
OT880,Northern Ireland Judicial Appointments Commission,"","",Other,,unknown,""
OT885,Identity and Passport Service,"","",Other,,unknown,""
OT886,English Sports Council,"","",Other,,1997,""
OT887,British Potato Council,"","",Other,,2008-04-01,""
OT889,Healthcare Commission,"","",Other,,2009-03-31,""
OT890,Commission for Rural Communities,"","",Other,,2013-03,""
OT891,National School of Government,"","",Other,,unknown,""
OT893,Design Council,"","",Other,,unknown,""
OT895,Standards Board for England,"","",Other,,2012-01-31,""
OT896,Investors in People UK,"","",Other,,unknown,""
OT897,Postgraduate Medical Education and Training Board,"","",Other,,2010-04-01,""
OT899,NHS Information Centre,"","",Other,,2013-04-01,""
OT902,Horticultural Development Council,"","",Other,,2008-04-01,""
OT903,Personal Accounts Delivery Authority,"","",Other,,2010-07-05,""
OT905,Sutherland Inquiry,"","",Other,,2008-12-17,""
OT906,Professional Oversight Board,"","",Other,,2012-07-02,""
OT908,Wales Audit Office,"","",Other,,,""
OT909,Commission for the Compact,"","",Other,,2011-03-31,""
OT910,Phoenix Sports,"","",Other,,unknown,""
OT911,Buying Solutions,"","",Other,,2010-06,""
OT913,Parole Commissioners for Northern Ireland,"","",Other,,unknown,""
OT914,Independent Safeguarding Authority,"","",Other,,2014-11-30,""
OT915,Children's Workforce Development Council,"",CWDC,Other,,2012-03-31,""
OT916,Local Better Regulation Office,"","",Other,,2012-04-01,""
OT925,ICL Inquiry,"","",Other,,unknown,""
OT926,Child Maintenance and Enforcement Commission,"","",Other,,2012-07-30,""
OT928,Capacitybuilders,"","",Other,,2011-03-31,""
OT930,Working Ventures UK,"","",Other,,2009-10-02,""
OT933,Nimrod Review,"","",Other,,2009-10,""
OT935,Northern Ireland Police Fund,"","",Other,,unknown,""
OT936,"Museums, Libraries and Archives Council","","",Other,,2012-05-31,""
OT937,Northern Ireland Law Commission,"","",Other,,unknown,""
OT938,School Food Trust,"",SFT,Other,,2011-10-01,""
OT940,Office of the Commissioner for the Rights of Trade Union Members,"","",Other,,unknown,""
OT941,Office of the Commissioner for Protection Against Unlawful Industrial Action,"","",Other,,1999-10-25,""
OT944,Bloody Sunday Inquiry,"","",Other,,unknown,""
OT945,Office of the Health Professions Adjudicator,"","",Other,,2012-06-30,""
OT946,Royal Trustees' Office,"","",Other,,2012,""
OT947,Infrastructure Planning Commission,"","",Other,,2012-01-31,""
OT950,CO2Sense,"","",Other,,2012-03,""
OT951,Billy Wright Inquiry,"","",Other,,unknown,""
OT952,Redfern Inquiry,"","",Other,,2010-11,""
OT953,SITPRO,"","",Other,,2010-11-30,""
OT954,Rosemary Nelson Inquiry,"","",Other,,2011-05-23,""
OT957,English Institute of Sport,"","",Other,,,D5
OT958,Mull of Kintyre Review,"","",Other,,2011,""
OT961,Firebuy,"","",Other,,2011-07-13,""
OT962,Public Prosecution Service for Northern Ireland,"","",Other,,,""
OT963,Baha Mousa Inquiry,"","",Other,,unknown,""
OT964,Creative Scotland,"","",Other,,unknown,""
OT966,Hillsborough Independent Panel,"","",Other,,2012-09-12,""
OT967,Leveson Inquiry,"","",Other,,2012,""
OT968,Patrick Finucane Review,"","",Other,,2015-01,""
OT969,Mid Staffordshire NHS Foundation Trust Public Inquiry 2013,"","",Other,,2013-02,""
OT971,Professional Standards Authority for Health and Social Care,"","",Other,,,""
OT972,Azelle Rodney Inquiry,"","",Other,,unknown,""
OT975,Nature Conservancy Council,"","",Other,,1991,""
OT976,Office of the Lay Observer,"","",Other,,unknown,""
OT977,Office of Telecommunications,"","",Other,,2003-12-29,""
OT978,Oftel,"","",Other,,2003,""
OT979,Office of the Data Protection Registrar,"","",Other,,1998,""
OT980,Polytechnics and Colleges Funding Council,"","",Other,,1992,""
OT984,Inquiry into the supervision of the Bank of Credit and Commerce International,"","",Other,,1992,""
OT987,National Museums of Scotland,"","",Other,,unknown,""
OT988,Ancient Monuments Board for Scotland,"","",Other,,unknown,""
OT989,Scottish Hospital Trust,"","",Other,,unknown,""
OT991,Welsh Development Agency,"","",Other,,2006-04-01,""
OT992,Chemical and Biological Defence Establishment,"","",Other,,unknown,""
OT993,Department of National Heritage,"","",Other,,1997,""
OT994,Legal Aid Board,"","",Other,,2000,""
OT995,Independent Television Commission,"","",Other,,2003-12-28,""
OT996,Board of Banking Supervision,"","",Other,,unknown,""
OT997,Her Majesty's Magistrates Courts Service Inspectorate,"","",Other,,unknown,D18
OT998,Examination team on child care procedures and practice in North Wales,"","",Other,,1996-06-17,""
OT999,Natural Resources Institute,"","",Other,,1996-05,""
PB1017,Independent Medical Expert Group,"",IMEG,Advisory non-departmental public body,,,D17
PB1062,Company Names Tribunal,"","",Other,,,EA34
PB1072,Agri-Food and Biosciences Institute (Northern Ireland),Agri-Food and Biosciences Institute,"",Executive non-departmental public body,,unknown,""
PB1078,Innovate UK,"",Innovate UK,Executive non-departmental public body,,,D1198
PB1083,Police Remuneration Review Body,"",PRRB,Advisory non-departmental public body,,,D16
PB1093,Single Source Regulations Office,"",SSRO,Executive non-departmental public body,,,D17
PB1118,Transport Focus,"","",Executive non-departmental public body,,,D9
PB1138,Reserve Forces Appeal Tribunal,"","",Tribunal non-departmental public body,,,EA73
PB1139,First-tier Tribunal (Property Chamber),"","",Tribunal non-departmental public body,,,EA73
PB1140,Upper Tribunal (Tax and Chancery Chamber),"","",Tribunal non-departmental public body,,,EA73
PB1141,Upper Tribunal (Lands Chamber),"","",Tribunal non-departmental public body,,,EA73
PB1142,Upper Tribunal (Administrative Appeals Chamber),"","",Tribunal non-departmental public body,,,EA73
PB1143,First-tier Tribunal (Immigration and Asylum),"","",Tribunal non-departmental public body,,,EA73
PB1144,Upper Tribunal (Immigration and Asylum Chamber),"","",Tribunal non-departmental public body,,,EA73
PB1149,Independent Commission on Freedom of Information,"","",Advisory non-departmental public body,,,""
PB1152,Disabled People’s Employment Corporation,"",DPEC,Executive non-departmental public body,,,D10
PB1154,Ebbsfleet Development Corporation,"","",Executive non-departmental public body,,,D4
PB1164,Historic England,"",HE,Executive non-departmental public body,,,D5
PB1171,UK Holocaust Memorial Foundation,"",UKHMF,Advisory non-departmental public body,,,"OT532, D4"
PB1172,Committee on Fuel Poverty,"",CFP,Advisory non-departmental public body,,,D1198
PB118,Horserace Betting Levy Board,"",HBLB,Executive non-departmental public body,,,D5
PB1185,Independent Dormant Assets Commission,"","",Advisory non-departmental public body,,,""
PB1193,Social Mobility Commission,"","",Advisory non-departmental public body,,,"D2, D6"
PB1194,Central Advisory Committee on Compensation,"",CAC Compensation,Ad-hoc advisory group,,,D17
PB1199,NHS Improvement,"","",Other,,,D12
PB120,Higher Education Funding Council for England,"",HEFCE,Executive non-departmental public body,,,D6
PB1202,NHS Digital,"","",Executive non-departmental public body,,,D12
PB1204,Valuation Tribunal for England,"",VTE,Tribunal non-departmental public body,,,D4
PB121,Council for Science and Technology,"",CST,Advisory non-departmental public body,,,D1198
PB1212,Northern Ireland Housing Executive,"",NIHE,Executive non-departmental public body,,,OT1173
PB1214,Institute for Apprenticeships,"",IFA,Executive non-departmental public body,,,D6
PB1218,Regulator of Social Housing,"",RSH,Executive non-departmental public body,,,""
PB1219,Independent Parliamentary Standards Authority,"",IPSA,Executive non-departmental public body,,,""
PB122,Low Pay Commission,"",LPC,Advisory non-departmental public body,,,D1198
PB1221,UK Research and Innovation,"",UKRI,Executive non-departmental public body,,,D1198
PB1222,Biometrics and Forensics Ethics Group,"","",Advisory non-departmental public body,,,D16
PB123,Arts and Humanities Research Council,"",AHRC,Executive non-departmental public body,,,D1198
PB1232,Homes England,"","",Executive non-departmental public body,,,D4
